id,day_id,date,mood,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,appCat.work_5_day_average,appCat.recreation_5_day_average,appCat.utils_5_day_average,appCat.convenience_5_day_average
AS14.01,1.0,2014-02-17,0.0,,,,,,,,,,,
AS14.01,2.0,2014-02-18,0.0,,,,,,,,,,,
AS14.01,3.0,2014-02-19,0.0,,,,,,,,,,,
AS14.01,4.0,2014-02-20,0.0,,,,,,,,,,,
AS14.01,5.0,2014-02-21,0.0,,,,,,,,,,,
AS14.01,6.0,2014-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0
AS14.01,7.0,2014-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
AS14.01,8.0,2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0
AS14.01,9.0,2014-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
AS14.01,10.0,2014-02-26,6.25,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
AS14.01,11.0,2014-02-27,6.333333333333333,1.25,-0.05,0.15,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
AS14.01,12.0,2014-02-28,0.0,2.5166666666666666,-0.05,0.21666666666666665,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
AS14.01,13.0,2014-03-01,0.0,2.5166666666666666,-0.05,0.21666666666666665,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0
AS14.01,14.0,2014-03-02,0.0,2.5166666666666666,-0.05,0.21666666666666665,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
AS14.01,15.0,2014-03-03,0.0,2.5166666666666666,-0.05,0.21666666666666665,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
AS14.01,16.0,2014-03-04,0.0,1.2666666666666666,0.0,0.06666666666666667,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
AS14.01,17.0,2014-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
AS14.01,18.0,2014-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
AS14.01,19.0,2014-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
AS14.01,20.0,2014-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
AS14.01,21.0,2014-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
AS14.01,22.0,2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
AS14.01,23.0,2014-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
AS14.01,24.0,2014-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
